ToxConc	CaspaseSignal
5.16724155775035	4488
4.8667215339246	604
6.36019216261091	7093
4.49773773044274	979
4.45998314337084	1428
5.78384278302769	4236
6.54022675214165	148011
5.97142864230945	9552
5.04657343788056	657
4.2753639238463	187
3.33590329566443	2
5.07525293145668	1328
5.46842939607617	2874
3.53225098571547	8
6.6220646385314	592046
5.85177265336656	3941
4.50801876455688	2018
4.87725044043685	1564
5.1596956324921	2773
3.69313645500106	3
4.65428289094911	757
5.17065798221438	1495
5.68578722576603	3356
6.10586309986121	6813
5.8501574465745	2045
